,id,cg_rank,cg_score,market_rank,daily_vol,tvl,mcap_t_tvl,price_change,number_of_exchanges
143,mirrored-invesco-qqq-trust,1515,18.323,874,216790,0,0,4.30942,2
144,husd,618,26.39,275,197033138,0,0,0.04525,6
145,monsta-infinite,911,22.772,640,4520711,0,0,99.73079,5
146,mirrored-apple,1772,16.748,882,289163,0,0,2.16135,2
147,aeron,897,22.925,847,3298.77,0,0,10954.31923,4
148,handshake,129,43.887,398,203585,0,0,57.17625,6
149,gamee,1414,18.917,856,1674501,0,0,139.47212,7
150,telos,511,27.979,270,2861418,0,0,57.14533,8
151,haven,266,34.594,395,1152803,0,0,67.44158,3
152,bytz,548,27.443,482,41126,0,0,-65.78619,3
153,maple,1175,20.508,560,1246596,259166844,0.27,62.3926,3
154,bao-finance,1617,17.602,822,2175596,48410321,0.59,24.4365,5
155,stratos,1552,18.043,933,654551,0,0,-4.38406,4
156,sparkpoint,1435,18.769,732,1569572,0,0,40.23349,10
157,bitmart-token,467,28.768,605,15618497,0,0,34.1095,2
158,visor,1268,19.89,592,1366178,21678577,2.88,157.43467,3
159,link,1083,21.221,129,3163448,0,0,41.98075,2
160,hbtc-token,1470,18.599,921,687255,0,0,-3.13208,1
161,gxchain,131,43.379,648,6093817,0,0,27.601,16
162,neblio,171,39.761,888,645346,0,0,22.55387,4
163,rootkit,2242,14.373,764,940.71,0,0,76.29864,1
164,ultra,555,27.403,345,2596594,0,0,10.73496,14
165,cutcoin,1807,16.585,694,996.71,0,0,59.49931,2
166,cratos,1193,20.419,366,4689871,0,0,4.53488,4
167,alchemix-usd,1042,21.534,269,1826133,0,0,0.88982,1
168,hedera-hashgraph,221,36.827,38,158531000,0,0,16.17855,28
169,vulcan-forged,1010,21.783,319,6531577,0,0,44.3629,6
170,oxbull-tech,1692,17.173,844,288751,0,0,43.3141,1
171,swissborg,261,34.797,148,1659048,0,0,9.34409,5
172,xcad-network,1132,20.766,558,3939311,0,0,14.95324,12
173,seth2,1589,17.782,439,166221,0,0,42.28588,1
174,concentrated-voting-power,944,22.321,710,5686203,0,0,-38.24466,18
175,dora-factory,972,22.121,917,12485196,0,0,12.23917,12
176,huobi-token,285,33.885,88,93811406,0,0,28.54115,40
177,sora,650,25.913,419,2862177,0,0,25.3972,8
178,sport-and-leisure,1548,18.063,660,1008467,0,0,29.95042,4
179,beldex,353,31.739,304,643544,0,0,22.38149,4
180,cvcoin,979,22.069,452,1055464,0,0,-12.97976,3
181,permission-coin,968,22.152,803,382116,0,0,-33.4501,2
182,naos-finance,1386,19.059,720,417358,13536007,2.91,-22.99866,7
183,defi-for-you,1334,19.391,821,783739,0,0,24.90742,4
184,flex-coin,541,27.566,303,206455537,0,0,8.42229,2
185,icon,57,51.02,96,46169042,0,0,29.18682,35
186,xdce-crowd-sale,302,33.368,102,12546082,0,0,-29.79619,16
187,stablexswap,2460,13.39,606,25.48,0,0,0,0
188,kirobo,1220,20.241,417,449786,0,0,-8.60251,1
189,usdk,614,26.434,701,219621337,0,0,0.41586,8
190,metaverse-index,1745,16.883,855,5182.56,0,0,59.68324,1
191,bnbpay,762,24.448,499,501563,0,0,317.95186,1
192,pundi-x,857,23.398,244,15861.32,0,0,4.8538,2
193,vvsp,2231,14.417,886,3567.92,0,0,-12.25958,1
194,atari,1563,17.977,672,378400,0,0,-20.68992,13
195,veed,1300,19.697,729,97763,0,0,-17.49476,2
196,moviebloc,1154,20.64,761,10343325,0,0,27.69573,10
197,k21,1428,18.791,905,676281,0,0,119.21111,6
198,unizen,600,26.681,290,2591315,0,0,6.7081,5
199,wazirx,646,25.959,150,28447353,0,0,35.08794,13
200,marketpeak,1551,18.045,253,440774,954078,281.18,4.94942,3
201,asd,901,22.879,203,600522,0,0,31.23311,5
202,ecomi,723,24.918,92,18806817,0,0,24.1361,4
203,velas,571,27.128,192,12745534,0,0,33.45245,13
204,antimatter,1475,18.578,832,411648,407166,68.19,-10.67456,6
205,velo,964,22.216,488,5942131,0,0,-3.27109,7
206,mithril,357,31.571,815,5589016,0,0,13.31273,10
207,launchpool,1059,21.421,936,260235,0,0,-21.71827,6
208,dragonchain,199,37.848,624,541946,0,0,-1.64755,8
209,stp-network,528,27.658,327,28969535,0,0,173.29188,19
210,convex-crv,274,34.163,143,890827,0,0,104.23904,1
211,cellframe,1474,18.583,785,1365826,0,0,24.91316,2
212,everipedia,136,43.147,337,7253945,0,0,33.08749,13
213,paxos-standard,252,35.049,113,6434030,0,0,0.08656,20
214,fio-protocol,616,26.414,593,2216920,0,0,4.91512,9
215,sienna,1438,18.762,681,247042,0,0,270.10041,1
216,snowblossom,1920,16.031,721,5343.4,0,0,41.06242,1
217,opium,1410,18.944,947,197938,3381559,5.97,24.30449,8
218,penguin-finance,589,26.812,920,670473,62627973,0.34,-50.99944,2
219,qash,1683,17.238,613,1154295,0,0,26.72503,6
220,aergo,181,39.075,529,1424596,0,0,10.88486,15
221,the-sandbox,545,27.504,131,168310973,0,0,40.93828,56
222,enq-enecuum,1620,17.595,974,788095,0,0,9.06394,3
223,nominex,858,23.395,585,153961,0,0,-10.80639,1
224,lambda,416,29.877,923,3700964,0,0,21.65614,17
225,hoge-finance,612,26.474,264,10337780,0,0,670.62775,9
226,pepecash,1497,18.428,940,1203.07,0,0,-31.23698,1
227,alpaca-finance,169,39.977,384,8796908,1466651266,0.09,2.33018,18
228,fractal,977,22.08,762,663263,0,0,50.03671,5
229,btu-protocol,1833,16.386,608,16407.4,0,0,27.45462,6
230,strike,1017,21.72,352,742106,32448339,4.8,7.99532,6
231,tokamak-network,707,25.114,224,10782584,0,0,19.39131,4
232,sx-network,1255,20.021,607,458695,0,0,33.88257,10
233,xsushi,809,23.894,124,2093193,0,0,5.39411,1
234,titanswap,1452,18.69,181,732002,0,0,8.40103,5
235,insure,1901,16.147,503,96746,0,0,-8.97187,6
236,aelf,70,49.721,271,15611731,0,0,-11.70251,32
237,bountymarketcap,1572,17.905,748,1361593,0,0,103.09425,1
238,cvault-finance,2077,15.244,442,265164,3760380,28.38,-15.2648,2
239,apwine,2062,15.353,945,200317,0,0,57.6921,2
240,true-usd,81,48.143,98,126323815,0,0,0.31582,39
241,bzx-protocol,242,35.685,387,36053824,16932378,7.69,42.88907,20
242,somnium-space-cubes,1696,17.153,526,3050227,0,0,198.29984,3
243,content-value-network,1067,21.313,879,1884463,0,0,0,3
244,anj,254,34.979,835,0,0,0,-33.19257,2
245,rif-token,492,28.273,297,1363625,0,0,30.18028,9
246,shapeshift-fox-token,1700,17.134,928,319864,0,0,12.33052,4
247,hapi,1022,21.667,687,5770773,0,0,35.40929,11
248,vether,1999,15.655,717,153049,0,0,206.64062,2
249,modefi,1827,16.409,910,580015,0,0,68.80751,5
250,cake-monster,714,25.016,455,1800827,0,0,501.84183,1
251,minidoge,770,24.254,1023,625717,0,0,159.66227,6
252,btse-token,873,23.178,498,1527307,0,0,15.78509,3
253,polkamarkets,1157,20.62,652,2460118,0,0,117.89843,4
254,multivac,538,27.595,496,12805385,0,0,52.94575,5
255,blackpool-token,1997,15.656,739,138350,0,0,175.23041,1
256,crypto-com-chain,26,56.12,41,116426817,66356154,79.09,33.84405,36
257,mimatic,1429,18.785,649,1522114,0,0,1.08738,6
258,verge,55,51.119,207,25230106,0,0,18.59664,25
259,unilayer,1034,21.592,863,4335820,0,0,41.22163,11
260,nem,49,52.111,90,55605832,0,0,15.02221,51
